GS1 Artikelcode (GTIN);Status;Productclassificatie;Gaat naar de consument;Verpakkings type;Landen of Regio's;Productomschrijving (max 35 tekens);Taal van productomschrijving;Merk;Submerk;Netto inhoud;Eenheid;Afbeelding (max 500 tekens);Bron;
8720387440009;ACTIVE;Speelgoedvoertuigen – Berijdbaar (Elektrisch);Ja;Doos;België;G spot & clitoris stimulator;Nederlands;Lilo;;;;;MijnGS1;
8720387440009;ACTIVE;Speelgoedvoertuigen – Berijdbaar (Elektrisch);Ja;Doos;Europese Unie;;;Lilo;;;;;MijnGS1;
8720387440009;ACTIVE;Speelgoedvoertuigen – Berijdbaar (Elektrisch);Ja;Doos;Nederland;;;Lilo;;;;;MijnGS1;
8720387440016;ACTIVE;Poppen/Pluchen Speelgoed (Niet–elektrisch);Ja;Doos;België;Among Us Knuffel Plushie Cadeau;Nederlands;Among Us;;10;Centimeter;;MijnGS1;
8720387440016;ACTIVE;Poppen/Pluchen Speelgoed (Niet–elektrisch);Ja;Doos;Europese Unie;;;Among Us;;;;;MijnGS1;
8720387440016;ACTIVE;Poppen/Pluchen Speelgoed (Niet–elektrisch);Ja;Doos;Nederland;;;Among Us;;;;;MijnGS1;
8720387440023;ACTIVE;Poppen/Pluchen Speelgoed (Niet–elektrisch);Ja;Zakje;België;Among Us Knuffel Plushie Crewmate;Nederlands;Among Us;;100;Gram;;MijnGS1;
8720387440023;ACTIVE;Poppen/Pluchen Speelgoed (Niet–elektrisch);Ja;Zakje;Europese Unie;;;Among Us;;;;;MijnGS1;
8720387440023;ACTIVE;Poppen/Pluchen Speelgoed (Niet–elektrisch);Ja;Zakje;Nederland;;;Among Us;;;;;MijnGS1;
8720387440030;ACTIVE;Onderbroeken/Slipjes/Boxershorts;Ja;Zakje;België;Menstruatie ondergoed sport zwart S;Nederlands;Bnatural;;30;Gram;;MijnGS1;
8720387440030;ACTIVE;Onderbroeken/Slipjes/Boxershorts;Ja;Zakje;Europese Unie;Period underwear sport black S;Engels;Bnatural;;;;;MijnGS1;
8720387440030;ACTIVE;Onderbroeken/Slipjes/Boxershorts;Ja;Zakje;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440030;ACTIVE;Onderbroeken/Slipjes/Boxershorts;Ja;Zakje;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440047;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;België;Golden eye earring;Engels;Lightbox;;10;Gram;;MijnGS1;
8720387440047;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;Europese Unie;;;Lightbox;;;;;MijnGS1;
8720387440047;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;Nederland;;;Lightbox;;;;;MijnGS1;
8720387440054;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;België;Silver eye earring;Engels;Lightbox;;10;Gram;;MijnGS1;
8720387440054;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;Europese Unie;;;Lightbox;;;;;MijnGS1;
8720387440054;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;Nederland;;;Lightbox;;;;;MijnGS1;
8720387440061;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;België;Golden moon and star earrings;Engels;Lightbox;;10;Gram;;MijnGS1;
8720387440061;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;Europese Unie;;;Lightbox;;;;;MijnGS1;
8720387440061;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;Nederland;;;Lightbox;;;;;MijnGS1;
8720387440078;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;België;Silver moon and star earrings;Engels;Lightbox;;10;Gram;;MijnGS1;
8720387440078;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;Europese Unie;;;Lightbox;;;;;MijnGS1;
8720387440078;ACTIVE;Oorbellen/Piercing Sieraden;Ja;Zakje;Nederland;;;Lightbox;;;;;MijnGS1;
8720387440085;ACTIVE;Kleding voor Bovenlichaam – Assortimenten;Ja;Doos;België;Amongs us muts beanie knuffel;Nederlands;Among Us;;150;Gram;;MijnGS1;
8720387440085;ACTIVE;Kleding voor Bovenlichaam – Assortimenten;Ja;Doos;Europese Unie;;;Among Us;;;;;MijnGS1;
8720387440085;ACTIVE;Kleding voor Bovenlichaam – Assortimenten;Ja;Doos;Nederland;;;Among Us;;;;;MijnGS1;
8720387440092;ACTIVE;Kleding voor Bovenlichaam – Assortimenten;Ja;Zakje;België;Among Us Rood muts beanie cap;Nederlands;Among Us;;100;Gram;;MijnGS1;
8720387440092;ACTIVE;Kleding voor Bovenlichaam – Assortimenten;Ja;Zakje;Europese Unie;;;Among Us;;;;;MijnGS1;
8720387440092;ACTIVE;Kleding voor Bovenlichaam – Assortimenten;Ja;Zakje;Nederland;;;Among Us;;;;;MijnGS1;
8720387440108;ACTIVE;Kleding voor Bovenlichaam – Assortimenten;Ja;Zakje;België;Among Us Blauw muts beanie cap;Nederlands;Among Us;;100;Gram;;MijnGS1;
8720387440108;ACTIVE;Kleding voor Bovenlichaam – Assortimenten;Ja;Zakje;Europese Unie;;;Among Us;;;;;MijnGS1;
8720387440108;ACTIVE;Kleding voor Bovenlichaam – Assortimenten;Ja;Zakje;Nederland;;;Among Us;;;;;MijnGS1;
8720387440115;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Global Market;Period Menstrual Underwear Black S;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440115;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440115;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440115;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440115;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440115;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440115;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440115;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Verenigd Koninkrijk;;;Bnatural;;;;;MijnGS1;
8720387440122;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Underwear Black M;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440122;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440122;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440122;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440122;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440122;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440122;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Underwear Black L;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440139;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Underwear Black XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440146;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Black 2XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440153;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Green S;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440160;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Green M;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440177;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Green L;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440184;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Green XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Green 2XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Red S;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Red M;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Red L;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440245;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Red XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440245;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440245;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440245;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440245;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440245;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440245;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440252;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Red 2XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440252;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440252;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440252;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440252;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440252;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440252;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440269;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Global Market;Menstruastie ondergoed Zwart S;Nederlands;Bnatural;;40;Gram;;MijnGS1;
8720387440269;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440269;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440269;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440269;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440269;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440276;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Global Market;Menstruastie ondergoed Zwart M;Nederlands;Bnatural;;40;Gram;;MijnGS1;
8720387440276;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440276;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440276;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440276;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440276;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440276;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Global Market;Menstruastie ondergoed Zwart L;Nederlands;Bnatural;;40;Gram;;MijnGS1;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
