GS1 Artikelcode (GTIN);Status;Productclassificatie;Gaat naar de consument;Verpakkings type;Landen of Regio's;Productomschrijving (max 35 tekens);Taal van productomschrijving;Merk;Submerk;Netto inhoud;Eenheid;Afbeelding (max 500 tekens);Bron;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Global Market;Menstruastie ondergoed Zwart XL;Nederlands;Bnatural;;40;Gram;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Global Market;Menstruastie ondergoed Zwart 2XL;Nederlands;Bnatural;;40;Gram;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440313;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Black S;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440313;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440313;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440313;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440313;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440313;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440313;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440320;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Black M;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440320;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440320;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440320;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440320;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440320;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440320;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440337;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Black L;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440337;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440337;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440337;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440337;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440337;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440337;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440344;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Black XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440344;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440344;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440344;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440344;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440344;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440344;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440351;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Black 2XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440351;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440351;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440351;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440351;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440351;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440351;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440368;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Green S;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440368;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440368;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440368;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440368;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440368;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440368;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440375;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Green M;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440375;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440375;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440375;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440375;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440375;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440375;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440382;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Green L;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440382;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440382;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440382;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440382;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440382;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440382;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440399;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Green XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440399;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440399;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440399;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440399;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440399;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440399;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440405;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Green 2XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440405;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440405;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440405;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440405;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440405;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440405;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440412;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Red S;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440412;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440412;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440412;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440412;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440412;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440412;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440429;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Red M;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440429;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440429;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440429;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440429;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440429;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440429;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440436;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Red L;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440436;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440436;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440436;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440436;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440436;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440436;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440443;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Red XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440443;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440443;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440443;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440443;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440443;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440443;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440450;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Thong Red 2XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440450;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440450;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440450;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440450;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440450;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440450;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440467;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Shorts S;Engels;Bnatural;;80;Gram;;MijnGS1;
8720387440467;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440467;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440467;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440467;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440467;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440467;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440474;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Shorts M;Engels;Bnatural;;80;Gram;;MijnGS1;
8720387440474;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440474;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440474;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440474;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440474;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440474;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440481;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Shorts L;Engels;Bnatural;;80;Gram;;MijnGS1;
8720387440481;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440481;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440481;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440481;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440481;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440481;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440498;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Shorts XL;Engels;Bnatural;;80;Gram;;MijnGS1;
8720387440498;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440498;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440498;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440498;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440498;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440498;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440504;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Global Market;Period Menstrual Shorts 2XL;Engels;Bnatural;;80;Gram;;MijnGS1;
8720387440504;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440504;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440504;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440504;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440504;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440504;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440511;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Global Market;Period Menstrual Leopard S;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440511;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440511;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440511;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
